abstract,title,author,year,category,id
"  Constraint programming (CP) has been used with great success to tackle a wide
variety of constraint satisfaction problems which are computationally
intractable in general. Global constraints are one of the important factors
behind the success of CP. In this paper, we study a new global constraint, the
multiset ordering constraint, which is shown to be useful in symmetry breaking
and searching for leximin optimal solutions in CP. We propose efficient and
effective filtering algorithms for propagating this global constraint. We show
that the algorithms are sound and complete and we discuss possible extensions.
We also consider alternative propagation methods based on existing constraints
in CP toolkits. Our experimental results on a number of benchmark problems
demonstrate that propagating the multiset ordering constraint via a dedicated
algorithm can be very beneficial.
",Filtering Algorithms for the Multiset Ordering Constraint,"Alan Frisch, Brahim Hnich, Zeynep Kiziltan, Ian Miguel, Toby Walsh",2009,Artificial Intelligence,
"  We argue that parameterized complexity is a useful tool with which to study
global constraints. In particular, we show that many global constraints which
are intractable to propagate completely have natural parameters which make them
fixed-parameter tractable and which are easy to compute. This tractability
tends either to be the result of a simple dynamic program or of a decomposition
which has a strong backdoor of bounded size. This strong backdoor is often a
cycle cutset. We also show that parameterized complexity can be used to study
other aspects of constraint programming like symmetry breaking. For instance,
we prove that value symmetry is fixed-parameter tractable to break in the
number of symmetries. Finally, we argue that parameterized complexity can be
used to derive results about the approximability of constraint propagation.
",The Parameterized Complexity of Global Constraints,"Christian Bessiere and Emmanuel Hebrard and Brahim Hnich and Zeynep
  Kiziltan and Toby Walsh",2008,Artificial Intelligence,
"  A technique for speeding up reinforcement learning algorithms by using time
manipulation is proposed. It is applicable to failure-avoidance control
problems running in a computer simulation. Turning the time of the simulation
backwards on failure events is shown to speed up the learning by 260% and
improve the state space exploration by 12% on the cart-pole balancing task,
compared to the conventional Q-learning and Actor-Critic algorithms.
","Time manipulation technique for speeding up reinforcement learning in
  simulations","Petar Kormushev, Kohei Nomoto, Fangyan Dong, Kaoru Hirota",2008,Artificial Intelligence,
"  Making a decision in a changeable and dynamic environment is an arduous task
owing to the lack of information, their uncertainties and the unawareness of
planners about the future evolution of incidents. The use of a decision support
system is an efficient solution of this issue. Such a system can help emergency
planners and responders to detect possible emergencies, as well as to suggest
and evaluate possible courses of action to deal with the emergency. We are
interested in our work to the modeling of a monitoring preventive and emergency
management system, wherein we stress the generic aspect. In this paper we
propose an agent-based architecture of this system and we describe a first step
of our approach which is the modeling of information and their representation
using a multiagent system.
",Towards an Intelligent System for Risk Prevention and Management,Fahem Kebair and Frederic Serin,2008,Artificial Intelligence,
"  In this paper we analyse Belief Propagation over a Gaussian model in a
dynamic environment. Recently, this has been proposed as a method to average
local measurement values by a distributed protocol (""Consensus Propagation"",
Moallemi & Van Roy, 2006), where the average is available for read-out at every
single node. In the case that the underlying network is constant but the values
to be averaged fluctuate (""dynamic data""), convergence and accuracy are
determined by the spectral properties of an associated Ruelle-Perron-Frobenius
operator. For Gaussian models on Erdos-Renyi graphs, numerical computation
points to a spectral gap remaining in the large-size limit, implying
exceptionally good scalability. In a model where the underlying network also
fluctuates (""dynamic network""), averaging is more effective than in the dynamic
data case. Altogether, this implies very good performance of these methods in
very large systems, and opens a new field of statistical physics of large (and
dynamic) information systems.
",Gaussian Belief with dynamic data and in dynamic network,"Erik Aurell, Ren\'e Pfitzner",2009,Artificial Intelligence,
"  The emerging Web of Data utilizes the web infrastructure to represent and
interrelate data. The foundational standards of the Web of Data include the
Uniform Resource Identifier (URI) and the Resource Description Framework (RDF).
URIs are used to identify resources and RDF is used to relate resources. While
RDF has been posited as a logic language designed specifically for knowledge
representation and reasoning, it is more generally useful if it can
conveniently support other models of computing. In order to realize the Web of
Data as a general-purpose medium for storing and processing the world's data,
it is necessary to separate RDF from its logic language legacy and frame it
simply as a data model. Moreover, there is significant advantage in seeing the
Semantic Web as a particular interpretation of the Web of Data that is focused
specifically on knowledge representation and reasoning. By doing so, other
interpretations of the Web of Data are exposed that realize RDF in different
capacities and in support of different computing models.
",Interpretations of the Web of Data,Marko A. Rodriguez,2011,Artificial Intelligence,
"  Voting is a simple mechanism to aggregate the preferences of agents. Many
voting rules have been shown to be NP-hard to manipulate. However, a number of
recent theoretical results suggest that this complexity may only be in the
worst-case since manipulation is often easy in practice. In this paper, we show
that empirical studies are useful in improving our understanding of this issue.
We demonstrate that there is a smooth transition in the probability that a
coalition can elect a desired candidate using the veto rule as the size of the
manipulating coalition increases. We show that a rescaled probability curve
displays a simple and universal form independent of the size of the problem. We
argue that manipulation of the veto rule is asymptotically easy for many
independent and identically distributed votes even when the coalition of
manipulators is critical in size. Based on this argument, we identify a
situation in which manipulation is computationally hard. This is when votes are
highly correlated and the election is ""hung"". We show, however, that even a
single uncorrelated voter is enough to make manipulation easy again.
","Where are the really hard manipulation problems? The phase transition in
  manipulating the veto rule",Toby Walsh,2009,Artificial Intelligence,
"  We show that some common and important global constraints like ALL-DIFFERENT
and GCC can be decomposed into simple arithmetic constraints on which we
achieve bound or range consistency, and in some cases even greater pruning.
These decompositions can be easily added to new solvers. They also provide
other constraints with access to the state of the propagator by sharing of
variables. Such sharing can be used to improve propagation between constraints.
We report experiments with our decomposition in a pseudo-Boolean solver.
","Decompositions of All Different, Global Cardinality and Related
  Constraints","Christian Bessiere, George Katsirelos, Nina Narodytska, Claude-Guy
  Quimper and Toby Walsh",2009,Artificial Intelligence,
"  We show that tools from circuit complexity can be used to study
decompositions of global constraints. In particular, we study decompositions of
global constraints into conjunctive normal form with the property that unit
propagation on the decomposition enforces the same level of consistency as a
specialized propagation algorithm. We prove that a constraint propagator has a
a polynomial size decomposition if and only if it can be computed by a
polynomial size monotone Boolean circuit. Lower bounds on the size of monotone
Boolean circuits thus translate to lower bounds on the size of decompositions
of global constraints. For instance, we prove that there is no polynomial sized
decomposition of the domain consistency propagator for the ALLDIFFERENT
constraint.
",Circuit Complexity and Decompositions of Global Constraints,"Christian Bessiere, George Katsirelos, Nina Narodytska and Toby Walsh",2009,Artificial Intelligence,
"  We relate tag clouds to other forms of visualization, including planar or
reduced dimensionality mapping, and Kohonen self-organizing maps. Using a
modified tag cloud visualization, we incorporate other information into it,
including text sequence and most pertinent words. Our notion of word pertinence
goes beyond just word frequency and instead takes a word in a mathematical
sense as located at the average of all of its pairwise relationships. We
capture semantics through context, taken as all pairwise relationships. Our
domain of application is that of filmscript analysis. The analysis of
filmscripts, always important for cinema, is experiencing a major gain in
importance in the context of television. Our objective in this work is to
visualize the semantics of filmscript, and beyond filmscript any other
partially structured, time-ordered, sequence of text segments. In particular we
develop an innovative approach to plot characterization.
",Tag Clouds for Displaying Semantics: The Case of Filmscripts,"F. Murtagh, A. Ganz, S. McKie, J. Mothe and K. Englmeier",2010,Artificial Intelligence,
"  Short philosophical essay
",What Does Artificial Life Tell Us About Death?,Carlos Gershenson,2011,Artificial Intelligence,
"  In this paper we extend Inagaki Weighted Operators fusion rule (WO) in
information fusion by doing redistribution of not only the conflicting mass,
but also of masses of non-empty intersections, that we call Double Weighted
Operators (DWO). Then we propose a new fusion rule Class of Proportional
Redistribution of Intersection Masses (CPRIM), which generates many interesting
particular fusion rules in information fusion. Both formulas are presented for
any number of sources of information. An application and comparison with other
fusion rules are given in the last section.
","Extension of Inagaki General Weighted Operators and A New Fusion Rule
  Class of Proportional Redistribution of Intersection Masses",Florentin Smarandache,2009,Artificial Intelligence,
"  In this article we review standard null-move pruning and introduce our
extended version of it, which we call verified null-move pruning. In verified
null-move pruning, whenever the shallow null-move search indicates a fail-high,
instead of cutting off the search from the current node, the search is
continued with reduced depth.
  Our experiments with verified null-move pruning show that on average, it
constructs a smaller search tree with greater tactical strength in comparison
to standard null-move pruning. Moreover, unlike standard null-move pruning,
which fails badly in zugzwang positions, verified null-move pruning manages to
detect most zugzwangs and in such cases conducts a re-search to obtain the
correct result. In addition, verified null-move pruning is very easy to
implement, and any standard null-move pruning program can use verified
null-move pruning by modifying only a few lines of code.
",Verified Null-Move Pruning,Omid David-Tabibi and Nathan S. Netanyahu,2002,Artificial Intelligence,
"  We introduce an extended tableau calculus for answer set programming (ASP).
The proof system is based on the ASP tableaux defined in [Gebser&Schaub, ICLP
2006], with an added extension rule. We investigate the power of Extended ASP
Tableaux both theoretically and empirically. We study the relationship of
Extended ASP Tableaux with the Extended Resolution proof system defined by
Tseitin for sets of clauses, and separate Extended ASP Tableaux from ASP
Tableaux by giving a polynomial-length proof for a family of normal logic
programs P_n for which ASP Tableaux has exponential-length minimal proofs with
respect to n. Additionally, Extended ASP Tableaux imply interesting insight
into the effect of program simplification on the lengths of proofs in ASP.
Closely related to Extended ASP Tableaux, we empirically investigate the effect
of redundant rules on the efficiency of ASP solving.
  To appear in Theory and Practice of Logic Programming (TPLP).
",Extended ASP tableaux and rule redundancy in normal logic programs,"Matti J\""arvisalo and Emilia Oikarinen",2008,Artificial Intelligence,
"  I argue that data becomes temporarily interesting by itself to some
self-improving, but computationally limited, subjective observer once he learns
to predict or compress the data in a better way, thus making it subjectively
simpler and more beautiful. Curiosity is the desire to create or discover more
non-random, non-arbitrary, regular data that is novel and surprising not in the
traditional sense of Boltzmann and Shannon but in the sense that it allows for
compression progress because its regularity was not yet known. This drive
maximizes interestingness, the first derivative of subjective beauty or
compressibility, that is, the steepness of the learning curve. It motivates
exploring infants, pure mathematicians, composers, artists, dancers, comedians,
yourself, and (since 1990) artificial systems.
","Driven by Compression Progress: A Simple Principle Explains Essential
  Aspects of Subjective Beauty, Novelty, Surprise, Interestingness, Attention,
  Curiosity, Creativity, Art, Science, Music, Jokes",Juergen Schmidhuber,2009,Artificial Intelligence,
"  Disjunctive finitary programs are a class of logic programs admitting
function symbols and hence infinite domains. They have very good computational
properties, for example ground queries are decidable while in the general case
the stable model semantics is highly undecidable. In this paper we prove that a
larger class of programs, called finitely recursive programs, preserves most of
the good properties of finitary programs under the stable model semantics,
namely: (i) finitely recursive programs enjoy a compactness property; (ii)
inconsistency checking and skeptical reasoning are semidecidable; (iii)
skeptical resolution is complete for normal finitely recursive programs.
Moreover, we show how to check inconsistency and answer skeptical queries using
finite subsets of the ground program instantiation. We achieve this by
extending the splitting sequence theorem by Lifschitz and Turner: We prove that
if the input program P is finitely recursive, then the partial stable models
determined by any smooth splitting omega-sequence converge to a stable model of
P.
",On finitely recursive programs,"Sabrina Baselice, Piero A. Bonatti, Giovanni Criscuolo",2009,Artificial Intelligence,
"  In a previous paper the authors argued the case for incorporating ideas from
innate immunity into articficial immune systems (AISs) and presented an outline
for a conceptual framework for such systems. A number of key general properties
observed in the biological innate and adaptive immune systems were hughlighted,
and how such properties might be instantiated in artificial systems was
discussed in detail. The next logical step is to take these ideas and build a
software system with which AISs with these properties can be implemented and
experimentally evaluated. This paper reports on the results of that step - the
libtissue system.
",libtissue - implementing innate immunity,"Jamie Twycross, Uwe Aickelin",2006,Artificial Intelligence,
"  Dendritic cells are antigen presenting cells that provide a vital link
between the innate and adaptive immune system, providing the initial detection
of pathogenic invaders. Research into this family of cells has revealed that
they perform information fusion which directs immune responses. We have derived
a Dendritic Cell Algorithm based on the functionality of these cells, by
modelling the biological signals and differentiation pathways to build a
control mechanism for an artificial immune system. We present algorithmic
details in addition to experimental results, when the algorithm was applied to
anomaly detection for the detection of port scans. The results show the
Dendritic Cell Algorithm is sucessful at detecting port scans.
","Information Fusion for Anomaly Detection with the Dendritic Cell
  Algorithm","Julie Greensmith, Uwe Aickelin, Gianni Tedesco",2010,Artificial Intelligence,
"  Network Intrusion Detection Systems (NDIS) monitor a network with the aim of
discerning malicious from benign activity on that network. While a wide range
of approaches have met varying levels of success, most IDS's rely on having
access to a database of known attack signatures which are written by security
experts. Nowadays, in order to solve problems with false positive alters,
correlation algorithms are used to add additional structure to sequences of IDS
alerts. However, such techniques are of no help in discovering novel attacks or
variations of known attacks, something the human immune system (HIS) is capable
of doing in its own specialised domain. This paper presents a novel immune
algorithm for application to an intrusion detection problem. The goal is to
discover packets containing novel variations of attacks covered by an existing
signature base.
",Integrating Innate and Adaptive Immunity for Intrusion Detection,"Gianni Tedesco, Jamie Twycross, Uwe Aickelin",2006,Artificial Intelligence,
"  Biologically-inspired methods such as evolutionary algorithms and neural
networks are proving useful in the field of information fusion. Artificial
Immune Systems (AISs) are a biologically-inspired approach which take
inspiration from the biological immune system. Interestingly, recent research
has show how AISs which use multi-level information sources as input data can
be used to build effective algorithms for real time computer intrusion
detection. This research is based on biological information fusion mechanisms
used by the human immune system and as such might be of interest to the
information fusion community. The aim of this paper is to present a summary of
some of the biological information fusion mechanisms seen in the human immune
system, and of how these mechanisms have been implemented as AISs
",Information Fusion in the Immune System,"Jamie Twycross, Uwe Aickelin",2010,Artificial Intelligence,
